AcX,AcY,AcZ,GyX,GyY,GyZ,bpm,label
-21564,-8144,4860,-1364,17217,24941,66.6,
-18432,-5860,3300,-6354,13860,19143,69.9,
-21500,-2652,3324,-18191,-5500,-10770,67.6,
-14380,-4408,-1168,-10341,-13303,-10978,71.2,
-17524,-4296,-2352,-16902,-10409,-16679,68.7,
-15180,-5988,-1868,-591,-6139,-14616,64.2,
-12248,-1980,-5920,-14245,-13524,1439,76.7,
-15684,-10260,-3236,-22834,-20124,16529,63.6,
-16488,-12576,-4636,-32768,-31251,14035,72.8,
-12744,-13052,-9044,-32768,-32561,10543,72.7,
-7828,-14540,2064,-8514,-9128,3830,68.2,
-10564,-8308,-436,-2719,-4230,5393,62.7,
-13892,-968,2576,-6760,-375,7761,68.8,
-13808,-7908,5236,-11962,-1479,6375,61.6,
-16224,-7808,5164,-2535,485,6535,67.7,
-14264,-9308,6292,24637,7438,-2389,64.1,
-13140,-1744,2928,21815,-426,-5309,82.0,
-21448,-4632,1916,4737,-10463,-4866,62.4,
-14612,-5320,1792,-10639,-13162,-11331,62.8,
-13308,-5512,1632,-2248,-7083,-11617,72.6,
-12428,-3416,2040,-2205,-2441,-2673,66.9,
-19164,-3696,2000,-6116,2050,7315,70.5,
-10168,-5228,4968,2749,6686,11117,70.6,
-20588,-2520,1776,-2483,6104,10016,66.4,
-13632,-6960,6584,-13173,6033,6615,67.4,
-12532,-5772,8788,7396,7904,2888,59.7,
-12604,-3824,7548,2379,1209,-1968,68.2,
-22984,-7516,5744,-3548,-6574,-3437,63.6,
-15952,-6984,3932,3788,-9150,-11401,71.4,
-18408,-6540,1532,-3526,-12943,-13297,67.9,
-12836,-7564,1160,758,-8356,-12982,65.8,
-10732,-4872,328,4214,-3793,-7288,64.7,
-17176,-6712,4400,605,12015,14581,69.8,
-13904,-6412,5400,-807,9449,7598,65.9,
-12092,-4980,5764,-2196,3850,484,57.0,
-13540,-5708,4516,-3357,-747,-2353,69.9,
-11344,-5596,4452,503,-2963,-8628,67.3,
-10508,-3828,-2256,-2543,-6089,-13622,67.4,
-13200,-6056,-4708,-2880,-7874,-15710,80.3,
-16852,-4876,-3716,-599,-10225,-10235,64.3,
-23288,-7116,392,-5911,-6501,2276,64.9,
-31684,-28160,16852,12605,-250,-2012,67.6,1.0
-19120,-6840,2812,-8108,5447,7415,67.2,1.0
-28972,-29836,-12528,-3886,-32330,23707,73.2,1.0
-18320,-25188,-8592,-21463,-32768,25566,62.1,1.0
-24164,-12964,-16292,-25990,-32768,32767,79.9,1.0
8336,-11144,-3136,9887,-32768,22748,56.8,1.0
29084,-13980,-4708,7020,-31900,8475,60.0,1.0
20648,-6096,512,4792,-29362,-10356,60.0,1.0
16632,2276,-8192,7818,-26000,-16231,72.8,1.0
12820,5020,-3496,-1730,-12012,-19420,67.9,1.0
6848,2924,-8188,-2018,-21131,-5628,70.8,1.0
5884,1628,-24996,9789,-13913,1868,71.2,1.0
8692,2048,-19732,-5005,3426,-3879,64.0,1.0
-2000,1172,-15952,9026,1567,-1344,64.0,1.0
3872,1060,-18832,-9247,-4426,802,64.0,1.0
5136,2808,-20464,-5263,1726,831,64.6,1.0
5964,-3504,-15020,-568,4730,245,65.2,1.0
4864,1884,-16180,88,819,-4977,84.3,1.0
4760,4340,-17452,876,427,-2781,60.2,1.0
4316,4764,-16836,-7910,-547,1485,60.2,1.0
5412,4888,-16588,4681,1627,911,105.3,1.0
5744,2300,-17008,4392,1988,1128,72.4,1.0
5340,-512,-15500,-414,-580,3845,73.1,1.0
6692,52,-16080,-4001,-709,2879,71.5,1.0
6516,1360,-17320,-2393,-651,2030,72.0,1.0
5692,368,-15580,-869,-371,94,72.4,1.0
6296,1372,-15824,-2122,-1170,-479,72.8,1.0
5128,2120,-16924,-1201,-1498,-1689,67.1,1.0
5256,2952,-18476,-4264,-1091,-719,73.6,1.0
4760,2416,-15960,1552,1586,-1089,71.5,1.0
5376,2472,-14616,-3623,-482,1074,68.6,1.0
5932,2700,-16784,-3289,-685,1466,71.2,1.0
5792,2756,-17328,5764,1453,787,71.7,1.0
5900,580,-15916,53,1384,956,74.4,1.0
6356,1440,-15856,-3352,-548,356,80.0,1.0
5912,1136,-15936,-1000,-314,-888,80.9,1.0
6712,1584,-15588,3457,-107,-887,94.4,1.0
6028,1332,-18272,88,437,-892,72.6,1.0
6044,1292,-15500,-1027,60,-193,74.8,1.0
6268,1964,-16216,-1435,-1603,-858,84.0,1.0
5540,2280,-17072,2474,-514,-768,80.5,1.0
5348,1432,-14924,-1231,140,1242,80.9,1.0
6080,2408,-15624,2140,-539,125,73.5,
5440,1960,-16624,480,-1417,-509,69.1,
4812,1528,-17608,1844,22,214,78.6,
5500,1772,-15840,665,389,294,66.7,
4632,1060,-15380,719,-246,-161,63.4,
5772,1952,-17512,-1917,-2030,1488,60.5,
3980,2288,-16468,-3221,592,-168,66.3,
5884,2244,-15848,-2367,-778,560,64.1,
4424,1380,-15788,-1751,-887,202,68.0,
4680,2316,-17008,-1292,-2015,-1255,63.2,
4120,3412,-16828,441,-1419,-1365,62.5,
3400,3304,-17572,-1306,-1525,-1308,55.6,
3748,3496,-16832,-1556,407,586,68.6,
3456,2756,-16316,-4283,-565,1647,78.7,
3848,3892,-17552,-3278,1119,1613,69.3,
4236,3568,-15972,1517,2086,691,60.4,
4932,2928,-15648,801,739,1142,60.9,
4996,2784,-16408,242,-454,1576,61.4,
5092,1896,-16136,1064,-1021,263,72.8,
4372,2268,-17448,-117,-397,-804,72.6,
4548,2344,-16592,-245,782,-86,68.7,
5204,2328,-16736,52,264,359,67.6,
4344,2068,-15300,989,-45,-1183,68.8,
5256,2856,-17584,-4514,-636,-79,66.2,
3460,2716,-16504,-374,539,1028,77.4,
6336,3396,-16016,-5109,-815,-337,67.9,
2916,3256,-16452,-449,735,1256,67.9,
6204,4120,-15776,-1144,666,-717,66.5,
4680,3632,-15540,-882,-388,791,68.0,
4560,3580,-15832,-65,-25,-1002,55.5,
5684,4008,-16140,-2163,-1612,1119,71.5,
4264,4316,-16068,-469,1115,-1326,64.6,
5024,4296,-16284,-3023,-1608,2215,65.3,
4460,4032,-15732,341,669,-375,67.9,
5024,4428,-15812,-4476,-2035,1750,58.6,
4400,4584,-15560,2232,1349,-1920,69.0,
5004,5016,-15732,-2108,-1405,860,69.7,
4184,4856,-16488,2497,105,-297,71.4,
3100,5084,-17136,-392,-2873,2895,53.4,
6636,4396,-15184,-1424,1426,428,58.6,
5840,4424,-17184,-1818,1100,1293,75.5,
7084,4840,-20324,-5850,7418,3977,67.2,
5548,5960,-22580,-9505,11536,2717,67.8,
8400,5884,-17864,-14384,17379,7646,67.7,
9864,4512,-10908,-18476,22848,13529,65.4,
15908,-156,2340,14235,32767,8235,61.8,
1256,9196,5600,19856,30430,-14375,67.4,
2620,14268,10800,5735,15890,-8887,67.6,
6208,16688,10232,-16127,3855,174,67.2,
7724,10696,11920,-10038,7837,2718,67.1,
15136,-4336,19936,18800,14228,-4276,71.0,
1664,10196,7020,-16695,-6674,-6780,68.4,
108,1820,9124,-8950,1592,-4607,71.8,
-3660,2868,10888,-2310,8594,-6828,59.5,
-3184,7484,12448,353,7907,-6027,59.6,
-2372,6408,15472,536,11358,-3649,73.1,
-12612,7296,14756,9580,15869,-713,72.6,
-17212,9032,9568,-3204,7529,-733,67.7,
-8268,1168,9096,-8751,7263,-3497,62.6,
-28224,-2224,11624,1021,15341,-12105,71.4,
-21560,-2204,8160,-6906,2984,-6535,74.1,
-19472,-6644,5428,-10972,6301,1694,75.1,
-22376,-6636,-4108,-16862,-5641,8734,60.5,
-11868,-4116,4804,-12091,-3366,13502,62.6,
-2932,-3552,5580,9811,5107,1650,61.6,
-8408,-4780,5576,11335,6742,-2931,59.8,
-10568,-8228,5184,23813,6518,-2635,65.4,
